created_at,id,text,province
Thu Nov 01 08:22:42 +0800 2018,4301461334242300,"""遗憾""",21
Thu Nov 01 08:22:41 +0800 2018,4301461331035470,"""江湖再无金大侠，走好[蜡烛]""",12
Thu Nov 01 08:22:38 +0800 2018,4301461317594154,"""[蜡烛][蜡烛][蜡烛][蜡烛]""",100
Thu Nov 01 08:22:38 +0800 2018,4301461313264721,"""TUT""",45
Thu Nov 01 08:22:37 +0800 2018,4301461309068714,"""。""",100
Thu Nov 01 08:22:34 +0800 2018,4301461301466477,"""悲伤十月，熟知的李咏和金庸出现在新闻上，没想到都是离世。一路走好""",100
Thu Nov 01 08:22:33 +0800 2018,4301461296601873,"""侠之泰斗""",100
Thu Nov 01 08:22:32 +0800 2018,4301461293069522,"""走好""",100
Thu Nov 01 08:22:32 +0800 2018,4301461292764525,"""加油""",100
Thu Nov 01 08:22:31 +0800 2018,4301461288871786,"""[米奇大哭]""",51
Thu Nov 01 08:22:28 +0800 2018,4301461275972892,"""[汗]""",100
Thu Nov 01 08:22:28 +0800 2018,4301461275610404,"""哇""",36
Thu Nov 01 08:22:26 +0800 2018,4301461268065166,"""尔""",400
Thu Nov 01 08:22:24 +0800 2018,4301461258814689,"""泰斗""",100
Thu Nov 01 08:22:21 +0800 2018,4301461250417150,"""射雕英雄传，天龙八部，神雕侠侣""",35
Thu Nov 01 08:22:20 +0800 2018,4301461237743667,"""[泪]""",44
Thu Nov 01 08:22:20 +0800 2018,4301461237743577,"""。。。。""",100
Thu Nov 01 08:22:17 +0800 2018,4301461230279807,"""[泪]""",100
Thu Nov 01 08:22:17 +0800 2018,4301461229425232,"""OK""",100
Thu Nov 01 08:22:13 +0800 2018,4301461217685002,"""[微笑]""",11
Thu Nov 01 08:22:14 +0800 2018,4301461217506342,"""千古""",32
Thu Nov 01 08:22:13 +0800 2018,4301461212632586,"""。。。""",61
Thu Nov 01 08:22:12 +0800 2018,4301461208796331,"""唉""",14
Thu Nov 01 08:22:08 +0800 2018,4301461192498584,"""[泪]""",32
Thu Nov 01 08:22:08 +0800 2018,4301461192001229,"""再见""",100
Thu Nov 01 08:22:07 +0800 2018,4301461188118154,"""啊""",23
Thu Nov 01 08:22:07 +0800 2018,4301461187704472,"""哥哥弟弟""",100
Thu Nov 01 08:22:08 +0800 2018,4301461187396322,"""[摊手]""",12
Thu Nov 01 08:22:06 +0800 2018,4301461183918912,"""[微笑]""",44
Thu Nov 01 08:22:05 +0800 2018,4301461179903836,"""，""",14
Thu Nov 01 08:22:04 +0800 2018,4301461179901009,"""jhggj""",12
Thu Nov 01 08:22:05 +0800 2018,4301461179721359,"""啦啦啦""",61
Thu Nov 01 08:22:03 +0800 2018,4301461170909892,"""可惜""",100
Thu Nov 01 08:22:00 +0800 2018,4301461163108646,"""i""",32
Thu Nov 01 08:22:00 +0800 2018,4301461158730909,"""大侠走好""",44
Thu Nov 01 08:22:00 +0800 2018,4301461158411802,"""[good]""",32
Thu Nov 01 08:21:59 +0800 2018,4301461154116366,"""，""",11
Thu Nov 01 08:21:57 +0800 2018,4301461145718630,"""侠义永存""",100
Thu Nov 01 08:21:55 +0800 2018,4301461141936078,"""大师好走！""",33
Thu Nov 01 08:21:51 +0800 2018,4301461124822994,"""泰斗已去，侠义永存！[蜡烛]🙏""",14
Thu Nov 01 08:21:51 +0800 2018,4301461120948047,"""[心][心][心]""",44
Thu Nov 01 08:21:51 +0800 2018,4301461120947316,"""经典已去""",41
Thu Nov 01 08:21:51 +0800 2018,4301461120946598,"""😔""",11
Thu Nov 01 08:21:51 +0800 2018,4301461120945802,"""武侠世界里真正的大Boss""",42
Thu Nov 01 08:21:50 +0800 2018,4301461116330675,"""[good]""",11
Thu Nov 01 08:21:49 +0800 2018,4301461112994511,"""呵呵""",100
Thu Nov 01 08:21:49 +0800 2018,4301461112228899,"""。""",100
Thu Nov 01 08:21:47 +0800 2018,4301461103733915,"""伤心""",100
Thu Nov 01 08:21:47 +0800 2018,4301461099287702,"""ffc""",45
Thu Nov 01 08:21:46 +0800 2018,4301461095091730,"""致敬""",52
Thu Nov 01 08:21:44 +0800 2018,4301461091136691,"""。。""",100
Thu Nov 01 08:21:43 +0800 2018,4301461087805222,"""。""",37
Thu Nov 01 08:21:41 +0800 2018,4301461078965165,"""少男少女少男少女""",50
Thu Nov 01 08:21:39 +0800 2018,4301461075209044,"""唉""",21
Thu Nov 01 08:21:38 +0800 2018,4301461070144873,"""，""",52
Thu Nov 01 08:21:36 +0800 2018,4301461057550843,"""再无大侠""",100
Thu Nov 01 08:21:33 +0800 2018,4301461044955181,"""。""",13
Thu Nov 01 08:21:32 +0800 2018,4301461041625382,"""[蜡烛][蜡烛][蜡烛]""",100
Thu Nov 01 08:21:30 +0800 2018,4301461032360251,""":-|""",32
Thu Nov 01 08:21:29 +0800 2018,4301461028850114,"""。。。""",11
Thu Nov 01 08:21:27 +0800 2018,4301461024650450,"""[可怜]""",65
Thu Nov 01 08:21:26 +0800 2018,4301461016254564,"""@少女本5:有道理""",51
Thu Nov 01 08:21:24 +0800 2018,4301461007168194,"""[微笑]""",45
Thu Nov 01 08:21:22 +0800 2018,4301460994397076,"""gjdd""",35
Thu Nov 01 08:21:22 +0800 2018,4301460994396993,"""大师啊也算看着他的作品长大的""",41
Thu Nov 01 08:21:20 +0800 2018,4301460990376048,"""现在我才知道。我看了很多他原创作品""",100
Thu Nov 01 08:21:20 +0800 2018,4301460990374363,"""他出的小说很好看""",44
